Date,Day,Shift,Class,Year,Subject,Paper Code,Paper Name
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258007,b) Guidance and Counseling 
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258008,c) Environment Education
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258009,d) Computer Education
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258010,"e) Health, Physical Education & Yoga"
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Ed.,2nd,Education,0258011,f) Lifestyle Management
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.A. B.Ed.,2nd,Education,0258608,History (Political History of Medieval India 1526-1740 AD)
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258708,a) Developmental Biology
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,2nd,Education,0258710,b) Differential Equations
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.P.Ed.,2nd,Education,0258206,Research and Statistics in Physical Education
11-Apr-26,Saturday,Shift-II (03:00 PM - 06:00 PM),B.Sc. B.Ed.,4th,Education,0458718,Pedagogy of Mathematics
13-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Bio-Technology,0128708,Chemistry
13-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,Microbiology,0128808,Analytical Techniques
13-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Sc.,1st,"Physical Education, Health Education & Sports",0188008,Environmental Studies (Qualifying)
13-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158009,a) Pedagogy of Mathematics
13-Apr-26,Monday,Shift-I (11:00 AM - 02:00 PM),B.Ed.,1st,Education,0158013,b) Pedagogy of Home Science
