Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Economics,Micro Economics,A-145,1st
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Economics,Micro Economics,B-145,1st
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Economics,Elementary Quantitative Methods,A-245,2nd
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Economics,Elementary Quantitative Methods,B-245,2nd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Economics,Indian Economy,A-345,3rd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Economics,Indian Economy,B-345,3rd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Gymnastics),S-104,1st
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Gymnastics),S-204,2nd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Track & Field),S-304,3rd
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Strategic Management,I-303,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,English,Short Stories,A-109,1st
24-Mar-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,English,British Poetry,A-209,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,English,Indian Writing in English Drama & Fiction,A-309,3rd
24-Mar-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Managerial Economics,I-305,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,Java Programming,A-392,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Application,Java Programming,B-392,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Computer Application,Java Programming,C-392,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,"Plant Resource Utilization, Palynology, Plant Pathology and Biostatistics",B-301,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Botany,Diversity of Angiosperms: Systematics Development & Reproduction,B-201,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Relativity & Statistical Physics,B-316,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Physics,Physical Optics and Lasers,B-216,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,Advanced Topics in Computer,A-393,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Application,Advanced Topics in Computer,B-393,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Computer Application,Advanced Topics in Computer,C-393,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,Molecular Biology & Biotechnology,B-302,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Botany,"Cytology, Genetics, Evolution & Ecology",B-202,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Solid State & Nuclear Physics,B-317,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Physics,Electromagnetics,B-217,2nd
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Introduction to Statistics & Computer Application in Physical Education,A-387,3rd
28-Mar-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Physical Education,Athletic Injuries & Rehabilitation,A-287,2nd
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Anatomy & Physiology in Physical Education,A-187,1st
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-002,2nd
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-002,2nd
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-002,2nd
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-003,3rd
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-003,3rd
